pid,pid,country,pname,brand,price
B01LTGYL3K,B01LTGYL3K,de,"Apple iPhone 7 plus Smartphone 5,5 Zoll gold",Apple,779.0
B013XCEWKK,B013XCEWKK,de,"Samsung Galaxy S6 edge+ Smartphone 14,39 cm",Samsung,588.0
B01N0UVD2U,B01N0UVD2U,de,"OnePlus 3T, RAM 6GB+128GB ROM 4G FDD-LTE 5.5 inch Smart Phone Qualcomm Snapdragon 821 Quad Core 2.35GHz 16.0MP A3010",OnePlus,
B01LSUYE9S,B01LSUYE9S,de,"Apple iPhone 7 Smartphone 4,7 Zoll gold",Apple,837.0
B00F8JDBT0,B00F8JDBT0,de,Apple iPhone 5S Smartphone 4 Zoll Gold,Apple,
B00NI0BOYA,B00NI0BOYA,de,Apple iPhone 6 Plus Smartphone 14 cm gold,Apple,
B00NI0BL5C,B00NI0BL5C,de,"Apple iPhone 6 Smartphone 11,9 cm gold",Apple,666.66
B015COHU10,B015COHU10,de,"Apple iPhone 6s Plus Smartphone 5,5 Zoll silver",Apple,793.01
B00F8JDBF4,B00F8JDBF4,de,"Apple iPhone 5S Smartphone 10,2 cm spacegrau",Apple,
B01LHVVBF8,B01LHVVBF8,de,"Nubia NX531J Z11 Smartphone 5,5 Zoll schwarz/gold",nubia,565.0
B01M5FA894,B01M5FA894,de,Google Pixel XL 32GB Anthrazit,Apple,849.85
B01MTAVDC7,B01MTAVDC7,de,"HTC 99HALT015-00 U Ultra Full HD Smartphone 5,2 Zoll",HTC,728.48
B013XCERSC,B013XCERSC,de,"Samsung Galaxy S6 edge+ Smartphone 14,39 cm",Samsung,494.2
B01N4PUNS7,B01N4PUNS7,de,"HTC 99HALT016-00 U Ultra Full HD Smartphone 5,2 Zoll",HTC,738.48
B01NBU1HBO,B01NBU1HBO,de,Samsung G935F Galaxy S7 Edge 32GB ohne Vertrag Blue Coral,Samsung,
B01H5KAR5K,B01H5KAR5K,de,OnePlus 3 Smartphone,OnePlus,
B01LVXZRG9,B01LVXZRG9,de,Apple iPhone 7 - 32 GB - Schwarz,Apple,
B06WRNK1DM,B06WRNK1DM,de,"Meizu M96/M686H PRO 6 Plus Smartphone, Dual SIM, 14,47",Meizu,555.16
B01L9KY0I2,B01L9KY0I2,de,Apple iPhone 6s Ros¨¦gold 64GB SIM-Free,Apple,489.0
B015COHVUU,B015COHVUU,de,"Apple iPhone 6s Plus Smartphone 5,5 Zoll gold",Apple,815.73
B01MR9MNNL,B01MR9MNNL,de,"Apple iPhone 7 Smartphone 4,7 Zoll jet schwarz",Apple,699.0
B01J7DLIQK,B01J7DLIQK,de,"HP Elite x3 Smartphone 5,96 Zoll inkl. Headset",HP,750.0
B014R5QHEG,B014R5QHEG,de,"Sony Xperia Z5 Premium Smartphone 13,8 cm gold",Sony,649.9
B01N9VBVN1,B01N9VBVN1,de,,,
B01LYSM7H5,B01LYSM7H5,de,Apple iPhone 6 Plus Gold 16GB SIM-Free Smartphone,Apple,591.2
B015COHQD2,B015COHQD2,de,"Apple iPhone 6s Plus Smartphone 5,5 Zoll rosegold",Apple,799.0
B01BWV9A42,B01BWV9A42,de,Samsung Galaxy S7 Smartphone 5.1 Zoll schwarz,Samsung,527.54
B00F07WTF2,B00F07WTF2,de,"Samsung Galaxy Note 3 Smartphone 5,7 Zoll wei?",Samsung,535.42
B00NI0BRBK,B00NI0BRBK,de,Apple iPhone 6 Plus Smartphone 14 cm gold,Apple,
B01M1DS3U2,B01M1DS3U2,de,Apple iPhone 6 Plus Silber 64GB SIM-Free Smartphone,Apple,677.29
B00NI0BPTE,B00NI0BPTE,de,,,
B015COHRM2,B015COHRM2,de,"Apple iPhone 6s Plus Smartphone 5,5 Zoll grey",Apple,857.8
B00TX5PSBO,B00TX5PSBO,de,"Samsung Galaxy S6 Edge Smartphone 12,9 cm schwarz",Samsung,
B00TX5Q5J8,B00TX5Q5J8,de,"Samsung Galaxy S6 Edge Smartphone 12,9 cm schwarz",Samsung,839.95
B01LTGWR3G,B01LTGWR3G,de,"Apple iPhone 7 plus Smartphone 5,5 Zoll gold",Apple,990.0
B01E0CTM66,B01E0CTM66,de,Huawei P9 Smartphone grau,Huawei,505.9
B01LVZBH5U,B01LVZBH5U,de,'Apple iPhone 7?Smartphone 4?g schwarz,Apple,1094.78
B01M0AAT4O,B01M0AAT4O,de,,,
B017XE0J8I,B017XE0J8I,de,"Apple iPhone 6s Plus 128GB Space Gr, MKUD2ZD/A",Apple,789.0
B01N3549RA,B01N3549RA,de,Huawei MHA-L29 SPACE GREY Smartphone Mate 9 Dual Sim,Huawei,
B01LZMHPGF,B01LZMHPGF,de,"CAT S60 Outdoor Smartphone 4,7 Zoll schwarz",Caterpillar,
B01LY5N6QR,B01LY5N6QR,de,"APPLE iPHONE 6S 4.7"" 32GB ITALIA ROSE GOLD",Apple,577.1
B00TX5QD3Q,B00TX5QD3Q,de,"Samsung Galaxy S6 Edge Smartphone 12,9 cm gold",Samsung,883.11
B01DVQB8QE,B01DVQB8QE,de,,,
B00V0VUYCC,B00V0VUYCC,de,"Apple iPhone 6S 64 GB, 4.7 Zoll, Retina HD Display, 12",Apple,729.0
B01LVXZVWK,B01LVXZVWK,de,"Apple iPhone 6S 32GB Spacegrau (schwarz) Smartphone (4,7 Zoll (11,9 cm) Touchscreen Display, 12 Megapixel Kamera, 3D Touch) Handy",Apple,
B00TX5P2F6,B00TX5P2F6,de,"Samsung Galaxy S6 Smartphone 12,9 cm wei?",Samsung,
B01LZ4AES5,B01LZ4AES5,de,Apple iPhone 6s Plus Silber 64GB SIM-Free Smartphone,Apple,799.11
B00TX5PYT0,B00TX5PYT0,de,"Samsung Galaxy S6 Edge Smartphone 12,9 cm gold",Samsung,
