,Q13_A8,
,Q13_A9,
code,Q13_A1,前置摄像头
,Q13_A2,后置双摄
,Q13_A3,运行内存
,Q13_A4,存储空间
,Q13_A5,CPU
,Q13_A6,电池容量
,Q13_A7,屏幕尺寸
,Q13_A8,屏幕分辨率
,Q13_A9,其他【请注明】
content,请问“Blade V8”的哪些硬件配置，吸引你购买?,
qtype,多选题,
key,Q14,
qtype,单选题,
code,1,如果改为5.0寸更好
,2,这个尺寸正合适
,3,如果能改为5.5寸更好
,4,无所谓，5寸-6寸之间就行
content,请问在选购“Blade V8”时，下面哪个描述最符合您对该机屏幕尺寸（5.2寸）的态度。,
name,尺寸满意度,
code_order,如果改为5.0寸更好,
,这个尺寸正合适,
,如果能改为5.5寸更好,
,无所谓，5寸-6寸之间就行,
qlist,Q14,
key,Q15,
qtype,单选题,
code,1,1个
,2,2个
,3,3个
,4,4个及以上
weight,1,1
,2,2
,3,3
,4,4
content,请问您自己正在使用(每个月都有话费产生)的手机号有几个?,
name,手机号个数,
code_order,1个,
,2个,
,3个,
,4个及以上,
qlist,Q15,
key,Q16,
qtype,单选题,
code,1,1部
,2,2部
,3,3部
,4,4部及以上
weight,1,1
,2,2
,3,3
,4,4
content,请问您正在使用(手机内插有电话卡)的手机有几部?,
name,手机部数,
code_order,1部,
,2部,
,3部,
,4部及以上,
qlist,Q16,
key,Q17,
qtype,多选题,
code,Q17_A0,续航时间短
,Q17_A1,电池掉电快
,Q17_A2,电池容量小
,Q17_A3,续航时间短
,Q17_A4,充电速度慢
,Q17_A5,充电头是旧款，不是Type-C
,Q17_A6,日常使用发热
,Q17_A7,系统时常卡顿
,Q17_A8,玩游戏不行
,Q17_A9,手机信号不好
,Q17_A10,手机掉价快
,Q17_A11,处理器(CPU)配置低
,Q17_A12,手机轻没手感
,Q17_A13,音量小
,Q17_A14,外放音质差
,Q17_A15,拍照效果比预期差
,Q17_A16,没有赠送耳机
,Q17_A17,没有赠送贴膜/手机壳
,Q17_A18,上网速度慢
,Q17_A19,软件运行不流畅
,Q17_A20,以上都没有
,Q17_A21,其他【请注明】
content,在使用“Blade V8”时，请问下面哪些方面是您最不满意的？请选择其中最重要的前4项。,
qlist,Q17_A0,
,Q17_A4,
,Q17_A5,
,Q17_A6,
,Q17_A7,
,Q17_A8,
,Q17_A9,
,Q17_A10,
,Q17_A11,
,Q17_A12,
,Q17_A13,
,Q17_A14,
,Q17_A15,
,Q17_A16,
,Q17_A17,
,Q17_A18,
,Q17_A19,
,Q17_A20,
,Q17_A21,
qlist_open,Q17_A21_open,
key,Q17a,
content,续航时间短的原因,
qtype,多选题,
qlist,Q17_A1,
,Q17_A2,
,Q17_A3,
code,Q17_A1,电池掉电快
,Q17_A2,电池容量小
,Q17_A3,续航时间短
key,Q18,
qtype,单选题,
code,1,少于2.5小时(轻度使用)
,2,2.5-5.5小时(中度使用)
,3,5.5小时以上(重度使用)
content,请问您每天大概花多长时间在使用“Blade V8”?,
name,使用时长,
code_order,少于2.5小时(轻度使用),
,2.5-5.5小时(中度使用),
,5.5小时以上(重度使用),
qlist,Q18,
key,Q19,
qlist,Q19,
code,1,小半天
,2,"大半天,少于一天"
,3,差不多一天
,4,一天到两天
,5,两天及以上
code_order,小半天,
,"大半天,少于一天",
,差不多一天,
,一天到两天,
,两天及以上,
content,请问这款手机充满电后能使用多久?,
name,电池使用时间,
qtype,单选题,
key,Q20,
qtype,多选题,
code,Q20_A1,打电话
,Q20_A2,发短信
,Q20_A3,玩游戏
,Q20_A4,社交(QQ、微信、微博等)
,Q20_A5,看视频
,Q20_A6,WIFI热点
,Q20_A7,网购
,Q20_A8,音乐(如K歌、播放器)
,Q20_A9,导航、出行(如地图、打车)
,Q20_A10,其他【请注明】
content,请问你平时主要用“Blade V8”手机做什么?,
qlist,Q20_A1,
,Q20_A2,
,Q20_A3,
,Q20_A4,
,Q20_A5,
,Q20_A6,
,Q20_A7,
,Q20_A8,
,Q20_A9,
,Q20_A10,
qlist_open,Q20_A10_open,
key,Q21,
qtype,矩阵单选题,
code,1,几乎不使用
,2,偶尔用(一天小于一次)
,3,经常用(一天使用多次)
content,拍照频率,
qlist,Q21_R1,
,Q21_R2,
code_r,Q21_R1,前置摄像头
,Q21_R2,后置摄像头
key,Q22,
qtype,多选题,
code,Q22_A1,微距
,Q22_A2,风景
,Q22_A3,夜景
,Q22_A4,自拍
,Q22_A5,人像
,Q22_A6,文档
,Q22_A7,美食
,Q22_A8,基本不拍
,Q22_A9,其他【请注明】
content,请问您使用“Blade V8”时，最喜欢拍摄下面哪些内容？请选择其中最重要的前3项。,
qlist,Q22_A1,
,Q22_A2,
,Q22_A3,
,Q22_A4,
,Q22_A5,
,Q22_A6,
,Q22_A7,
,Q22_A8,
,Q22_A9,
